ID,Label,Subtotal,Discount,Total,Payment,Type,Status,Created At,Void Reason,Void Resolution
1,Sale #1,304.00,0.00,304.00,FoodPanda,takeout,COMPLETED,2026-06-05 12:52,,
2,Sale #2,349.00,0.00,349.00,cash,takeout,COMPLETED,2026-06-05 12:53,,
3,Sale #3,307.00,0.00,307.00,gcash,dine_in,COMPLETED,2026-06-05 12:54,,
4,Sale #4,304.00,60.80,243.20,cash,takeout,COMPLETED,2026-06-05 12:54,,
5,Sale #5,98.00,0.00,98.00,gcash,takeout,COMPLETED,2026-06-05 12:56,,
6,Sale #6,514.00,23.60,490.40,cash,takeout,COMPLETED,2026-06-05 12:57,,
7,Sale #7,99.00,0.00,99.00,gcash,takeout,COMPLETED,2026-06-05 12:57,,
